0.240,0.280
0.220,0.300
0.238,0.200
1.041,1.200
0.513,0.500
0.350,0.397
0.302,0.350
0.430,0.400
0.468,0.400
0.221,0.200
0.447,0.400
0.317,0.300
0.479,0.500
0.423,0.500
0.203,0.200
0.336,0.380
0.383,0.380
0.431,0.500
0.254,0.200
0.287,0.240
0.439,0.520
0.421,0.500
0.199,0.180
0.390,0.450
0.540,0.450
0.342,0.350
0.397,0.400
0.384,0.400
0.410,0.400
0.414,0.400
0.297,0.280
0.364,0.280
0.437,0.420
0.433,0.420
0.345,0.400
0.404,0.400
0.434,0.480
0.510,0.480
0.391,0.500
0.430,0.500
0.437,0.460
0.283,0.280
0.414,0.400
0.533,0.540
0.476,0.540
0.506,0.540
0.298,0.240
0.360,0.350
0.256,0.350
0.531,0.520
0.554,0.500
0.476,0.500
0.401,0.320
0.354,0.200
0.295,0.280
0.297,0.280
0.456,0.450
0.471,0.450
0.496,0.450
0.434,0.450
0.434,0.450
0.400,0.350
0.385,0.350
0.370,0.450
0.468,0.450
0.300,0.300
0.278,0.250
0.227,0.200
0.174,0.200
0.233,0.250
0.209,0.250
0.255,0.250
0.221,0.250
0.200,0.200
0.231,0.200
0.245,0.500
0.225,0.200
0.231,0.200
0.210,0.200
0.150,0.190
0.308,0.300
0.311,0.300
0.343,0.300
0.248,0.300
0.244,0.200
0.209,0.200
0.228,0.200
0.213,0.200
0.222,0.200
0.182,0.200
0.228,0.200
0.214,0.220
0.204,0.220
0.190,0.180
0.218,0.180
0.199,0.180
0.216,0.180
0.228,0.180
0.312,0.300
0.244,0.300
0.221,0.200
0.218,0.180
0.295,0.280
0.248,0.280
0.257,0.280
0.219,0.280
0.252,0.280
0.285,0.280
0.174,0.250
0.201,0.250
0.231,0.250
0.279,0.250
0.322,0.300
0.311,0.300
0.239,0.200
0.223,0.200
0.236,0.200
0.284,0.260
0.284,0.260
0.261,0.260
0.215,0.260
0.271,0.280
0.311,0.280
0.249,0.280
0.220,0.280
0.102,0.100
0.148,0.100
0.209,0.150
0.166,0.150
0.201,0.250
0.259,0.250
0.202,0.200
0.204,0.200
0.204,0.200
0.353,0.350
0.244,0.250
0.225,0.200
0.404,0.400
0.425,0.400
0.344,0.350
0.351,0.350
0.240,0.250
0.739,0.750
0.754,0.750
0.250,0.250
0.257,0.250
0.254,0.250
0.565,0.650
0.714,0.650
0.637,0.650
0.550,0.650
0.330,0.350
0.661,0.700
0.680,0.700
0.747,0.700
0.558,0.550
0.489,0.550
0.524,0.550
0.630,0.600
0.541,0.600
0.543,0.500
0.616,0.600
0.310,0.200
0.210,0.250
0.214,0.250
0.290,0.250
0.245,0.250
0.236,0.250
0.304,0.250
0.514,0.500
0.534,0.500
0.391,0.500
0.508,0.500
0.456,0.420
0.369,0.420
0.372,0.420
